101010100 北京,北京
101290503 云南,龙陵
101290504 云南,施甸
101290505 云南,昌宁
101290506 云南,腾冲
101290601 云南,文山
101290602 云南,西畴
101290603 云南,马关
101290604 云南,麻栗坡
101290605 云南,砚山
101290606 云南,丘北
101290607 云南,广南
101290608 云南,富宁
101290701 云南,玉溪
101290702 云南,澄江
101290703 云南,江川
101290704 云南,通海
101290705 云南,华宁
101290706 云南,新平
101290707 云南,易门
101290708 云南,峨山
101290709 云南,元江
101290801 云南,楚雄
101290802 云南,大姚
101290803 云南,元谋
101290804 云南,姚安
101290805 云南,牟定
101290806 云南,南华
101290807 云南,武定
101290808 云南,禄丰
101290809 云南,双柏
101290810 云南,永仁
101290901 云南,普洱
101290902 云南,景谷
101290903 云南,景东
101290904 云南,澜沧
101290906 云南,墨江
101290907 云南,江城
101290908 云南,孟连
101290909 云南,西盟
101290911 云南,镇沅
101290912 云南,宁洱
101291001 云南,昭通
101291002 云南,鲁甸
101291003 云南,彝良
101291004 云南,镇雄
101291005 云南,威信
101291006 云南,巧家
101291007 云南,绥江
101291008 云南,永善
101291009 云南,盐津
101291010 云南,大关
101291011 云南,水富
101291101 云南,临沧
101291102 云南,沧源
101291103 云南,耿马
101291104 云南,双江
101291105 云南,凤庆
101291106 云南,永德
101291107 云南,云县
101291108 云南,镇康
101291201 云南,怒江
101291203 云南,福贡
101291204 云南,兰坪
101291205 云南,泸水
101291206 云南,六库
101291207 云南,贡山
101291301 云南,香格里拉
101291302 云南,德钦
101291303 云南,维西
101291304 云南,中甸
101291401 云南,丽江
101291402 云南,永胜
101291403 云南,华坪
101291404 云南,宁蒗
101291501 云南,德宏
101291503 云南,陇川
101291504 云南,盈江
101291506 云南,瑞丽
101291507 云南,梁河
101291508 云南,芒市
101291601 云南,景洪
101291603 云南,勐海
101291605 云南,勐腊
101300101 广西,南宁
101300103 广西,邕宁
101300104 广西,横县
101300105 广西,隆安
101300106 广西,马山
101300107 广西,上林
101300108 广西,武鸣
101300109 广西,宾阳
101300201 广西,崇左
101300202 广西,天等
101300203 广西,龙州
101300204 广西,凭祥
101300205 广西,大新
101300206 广西,扶绥
101300207 广西,宁明
101300301 广西,柳州
101300302 广西,柳城
101300304 广西,鹿寨
101300305 广西,柳江
101300306 广西,融安
101300307 广西,融水
101300308 广西,三江
101300401 广西,来宾
101300402 广西,忻城
101300403 广西,金秀
101300404 广西,象州
101300405 广西,武宣
101300406 广西,合山
101300501 广西,桂林
101300503 广西,龙胜
101300504 广西,永福
101300505 广西,临桂
101300506 广西,兴安
101300507 广西,灵川
101300508 广西,全州
101300509 广西,灌阳
101300510 广西,阳朔
101300511 广西,恭城
101300512 广西,平乐
101300513 广西,荔浦
101300514 广西,资源
101300601 广西,梧州
101300602 广西,藤县
101300604 广西,苍梧
101300605 广西,蒙山
101300606 广西,岑溪
101300701 广西,贺州
101300702 广西,昭平
101300703 广西,富川
101300704 广西,钟山
101300801 广西,贵港
101300802 广西,桂平
101300803 广西,平南
101300901 广西,玉林
101300902 广西,博白
101300903 广西,北流
101300904 广西,容县
101300905 广西,陆川
101300906 广西,兴业
101301001 广西,百色
101301002 广西,那坡
101301003 广西,田阳
101301004 广西,德保
101301005 广西,靖西
101301006 广西,田东
101301007 广西,平果
101301008 广西,隆林
101301009 广西,西林
101301010 广西,乐业
101301011 广西,凌云
101301012 广西,田林
101301101 广西,钦州
101301102 广西,浦北
101301103 广西,灵山
101301201 广西,河池
101301202 广西,天峨
101301203 广西,东兰
101301204 广西,巴马
101301205 广西,环江
101301206 广西,罗城
101301207 广西,宜州
101301208 广西,凤山
101301209 广西,南丹
101301210 广西,都安
101301211 广西,大化
101301301 广西,北海
101301302 广西,合浦
101301303 广西,涠洲岛
101301401 广西,防城港
101301402 广西,上思
101301403 广西,东兴
101301405 广西,防城
101310101 海南,海口
101310201 海南,三亚
101310202 海南,东方
101310203 海南,临高
101310204 海南,澄迈
101310205 海南,儋州
101310206 海南,昌江
101310207 海南,白沙
101310208 海南,琼中
101310209 海南,定安
101310210 海南,屯昌
101310211 海南,琼海
101310212 海南,文昌
101310214 海南,保亭
101310215 海南,万宁
101310216 海南,陵水
101310217 海南,西沙
101310220 海南,南沙
101310221 海南,乐东
101310222 海南,五指山
101310224 海南,中沙
101320101 香港,香港
101320102 香港,九龙
101320103 香港,新界
101330101 澳门,澳门
101330102 澳门,氹仔岛
101330103 澳门,路环岛
101340101 台湾,台北
101340102 台湾,桃园
101340103 台湾,新竹
101340104 台湾,宜兰
101340201 台湾,高雄
101340202 台湾,嘉义
101340203 台湾,台南
101340204 台湾,台东
101340205 台湾,屏东
101340401 台湾,台中
101340402 台湾,苗栗
101340403 台湾,彰化
101340404 台湾,南投
101340405 台湾,花莲
101340406 台湾,云林
101310230 海南,南子岛
